Finished epoch:1 | Loss : 1.99951 | Learning Rate: 0.5 
Finished epoch:2 | Loss : 1.94109 | Learning Rate: 0.5 
Finished epoch:3 | Loss : 1.54481 | Learning Rate: 0.5 
Finished epoch:4 | Loss : 1.55726 | Learning Rate: 0.25 
Finished epoch:5 | Loss : 1.26104 | Learning Rate: 0.25 
Finished epoch:6 | Loss : 1.06099 | Learning Rate: 0.25 
Finished epoch:7 | Loss : 0.91509 | Learning Rate: 0.25 
Finished epoch:8 | Loss : 0.80949 | Learning Rate: 0.25 
Finished epoch:9 | Loss : 0.73133 | Learning Rate: 0.25 
Finished epoch:10 | Loss : 0.66908 | Learning Rate: 0.25 
Finished epoch:11 | Loss : 0.61103 | Learning Rate: 0.25 
Finished epoch:12 | Loss : 0.56752 | Learning Rate: 0.125 
Finished epoch:13 | Loss : 0.52438 | Learning Rate: 0.125 
Finished epoch:14 | Loss : 0.48764 | Learning Rate: 0.125 
Finished epoch:15 | Loss : 0.45571 | Learning Rate: 0.0625 
Finished epoch:16 | Loss : 0.42738 | Learning Rate: 0.0625 
Finished epoch:17 | Loss : 0.40238 | Learning Rate: 0.0625 
Finished epoch:18 | Loss : 0.38014 | Learning Rate: 0.0625 
Finished epoch:19 | Loss : 0.36025 | Learning Rate: 0.0625 
Finished epoch:20 | Loss : 0.34234 | Learning Rate: 0.0625 
Finished epoch:21 | Loss : 0.32614 | Learning Rate: 0.03125 
Finished epoch:22 | Loss : 0.31140 | Learning Rate: 0.03125 
Finished epoch:23 | Loss : 0.29795 | Learning Rate: 0.03125 
Finished epoch:24 | Loss : 0.28562 | Learning Rate: 0.03125 
Finished epoch:25 | Loss : 0.27427 | Learning Rate: 0.03125 
Finished epoch:26 | Loss : 0.26380 | Learning Rate: 0.03125 
Finished epoch:27 | Loss : 0.25410 | Learning Rate: 0.03125 
Finished epoch:28 | Loss : 0.24509 | Learning Rate: 0.03125 
Finished epoch:29 | Loss : 0.23671 | Learning Rate: 0.03125 
Finished epoch:30 | Loss : 0.22888 | Learning Rate: 0.03125 
Finished epoch:31 | Loss : 0.22156 | Learning Rate: 0.03125 
Finished epoch:32 | Loss : 0.21470 | Learning Rate: 0.03125 
Finished epoch:33 | Loss : 0.20825 | Learning Rate: 0.03125 
Finished epoch:34 | Loss : 0.20218 | Learning Rate: 0.015625 
Finished epoch:35 | Loss : 0.19646 | Learning Rate: 0.015625 
Finished epoch:36 | Loss : 0.19106 | Learning Rate: 0.015625 
Finished epoch:37 | Loss : 0.18595 | Learning Rate: 0.015625 
Finished epoch:38 | Loss : 0.18110 | Learning Rate: 0.0078125 
Finished epoch:39 | Loss : 0.17651 | Learning Rate: 0.0078125 
Finished epoch:40 | Loss : 0.17214 | Learning Rate: 0.0078125 
Finished epoch:41 | Loss : 0.16799 | Learning Rate: 0.0078125 
Finished epoch:42 | Loss : 0.16404 | Learning Rate: 0.0078125 
Finished epoch:43 | Loss : 0.16027 | Learning Rate: 0.00390625 
Finished epoch:44 | Loss : 0.15667 | Learning Rate: 0.00390625 
Finished epoch:45 | Loss : 0.15323 | Learning Rate: 0.00390625 
Finished epoch:46 | Loss : 0.14994 | Learning Rate: 0.00390625 
Finished epoch:47 | Loss : 0.14679 | Learning Rate: 0.00390625 
Finished epoch:48 | Loss : 0.14377 | Learning Rate: 0.00390625 
Finished epoch:49 | Loss : 0.14088 | Learning Rate: 0.001953125 
Finished epoch:50 | Loss : 0.13810 | Learning Rate: 0.001953125 
Finished epoch:51 | Loss : 0.13543 | Learning Rate: 0.001953125 
Finished epoch:52 | Loss : 0.13286 | Learning Rate: 0.001953125 
Finished epoch:53 | Loss : 0.13039 | Learning Rate: 0.001953125 
Finished epoch:54 | Loss : 0.12801 | Learning Rate: 0.001953125 
Finished epoch:55 | Loss : 0.12572 | Learning Rate: 0.001953125 
Finished epoch:56 | Loss : 0.12351 | Learning Rate: 0.001953125 
Finished epoch:57 | Loss : 0.12138 | Learning Rate: 0.001953125 
Finished epoch:58 | Loss : 0.11932 | Learning Rate: 0.001953125 
Finished epoch:59 | Loss : 0.11733 | Learning Rate: 0.0009765625 
Finished epoch:60 | Loss : 0.11540 | Learning Rate: 0.0009765625 
Finished epoch:61 | Loss : 0.11354 | Learning Rate: 0.0009765625 
Finished epoch:62 | Loss : 0.11174 | Learning Rate: 0.0009765625 
Finished epoch:63 | Loss : 0.11000 | Learning Rate: 0.0009765625 
Finished epoch:64 | Loss : 0.10831 | Learning Rate: 0.0009765625 
Finished epoch:65 | Loss : 0.10667 | Learning Rate: 0.0009765625 
Finished epoch:66 | Loss : 0.10509 | Learning Rate: 0.0009765625 
Finished epoch:67 | Loss : 0.10355 | Learning Rate: 0.0009765625 
Finished epoch:68 | Loss : 0.10205 | Learning Rate: 0.0009765625 
Finished epoch:69 | Loss : 0.10060 | Learning Rate: 0.0009765625 
Finished epoch:70 | Loss : 0.09919 | Learning Rate: 0.0009765625 
Finished epoch:71 | Loss : 0.09782 | Learning Rate: 0.0009765625 
Finished epoch:72 | Loss : 0.09649 | Learning Rate: 0.0009765625 
Finished epoch:73 | Loss : 0.09519 | Learning Rate: 0.0009765625 
